Country,Year,Cost to import (% change),Cost to import (US$ per container),Deposit interest rate (%),Electric power consumption (% change),Electric power consumption (kWh per capita),"Foreign direct investment, net inflows (% change)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (% change),GDP per capita (constant 2010 US$),GNI per capita (% change),GNI per capita (constant 2010 US$),Gross domestic savings (% change),Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (% change),Household final consumption expenditure per capita (constant 2010 US$),"Inflation, consumer prices (annual %)",Lending interest rate (%),"Life expectancy at birth, total (years)",Merchandise imports from high-income economies (% of total merchandise imports),Trade (% change),Trade (constant 2010 US$),Trade in services (% change),Trade in services (constant 2010 US$),"Unemployment, total (% of total labor force) (national estimate)"
United States,1999,,,,0.97,13281.87,61.67,289443000000.0,3.49,43768.88,3.57,43750.34,2.71,2523443413209.42,4.09,28327.2,1.55,7.99,76.58,67.46,6.68,2832626764025.8,3.11,586912104635.96,4.2
United States,2000,,,,2.93,13671.05,20.94,350066000000.0,2.94,45055.82,3.02,45072.01,0.33,2531809451945.41,3.91,29435.95,2.19,9.23,76.64,66.32,12.13,3176126402161.28,6.68,626090470613.1,4.0
United States,2001,,,,-4.57,13046.61,-51.02,171471000000.0,-0.02,45047.49,0.11,45122.06,-5.79,2385203440616.81,1.58,29902.12,3.38,6.92,76.84,65.47,-7.84,2927269466198.99,-5.84,589524572559.37,4.7
United States,2002,,,,1.91,13296.18,-36.16,109466000000.0,0.85,45428.65,0.8,45483.65,-3.08,2311663850679.21,1.63,30389.85,2.83,4.68,76.94,63.77,-1.13,2894168231754.9,1.97,601158245787.66,5.8
United States,2003,,,,0.09,13307.49,1.72,111346000000.0,1.93,46304.04,2.07,46425.05,0.44,2321844921937.83,2.24,31071.58,1.59,4.12,77.04,62.35,4.2,3015825133752.81,3.31,621079232016.6,6.0
United States,2004,,,,0.61,13388.59,86.69,207877000000.0,2.83,47614.28,2.98,47806.67,4.98,2437365966052.08,2.88,31967.87,2.27,4.34,77.49,60.88,12.31,3387128188963.11,13.57,705375331003.92,5.5
United States,2005,,696.0,,2.36,13704.58,-33.46,138327000000.0,2.4,48755.62,2.38,48942.29,4.72,2552406191124.56,2.56,32787.81,2.68,6.19,77.49,59.17,8.47,3674159519442.8,5.68,745458948251.11,5.1
United States,2006,0.0,696.0,,-0.89,13583.27,112.75,294288000000.0,1.68,49575.4,1.46,49656.3,2.98,2628440896405.84,2.05,33460.74,3.39,7.96,77.69,57.25,8.19,3975227842543.68,8.54,809128263012.21,4.6
United States,2007,0.0,696.0,,0.55,13657.45,15.56,340065000000.0,0.82,49979.53,1.2,50250.41,-0.4,2617867623676.01,1.27,33885.96,3.23,8.05,77.99,56.49,5.89,4209327605759.3,10.65,895325688856.48,4.6
United States,2008,7.33,747.0,,0.04,13663.42,-2.16,332734000000.0,-1.23,49364.64,-0.95,49775.16,-8.98,2382868519136.52,-1.28,33452.06,2.85,5.09,78.04,56.06,6.78,4494651947647.76,7.29,960617853145.81,5.8
United States,2009,5.62,789.0,,-5.49,12913.71,-53.78,153788000000.0,-3.62,47575.61,-3.73,47919.47,-9.53,2155719277047.33,-2.46,32629.2,3.84,3.25,78.39,53.36,-19.58,3614533409904.32,-5.22,910510330954.14,9.3
United States,2010,0.0,789.0,,3.72,13394.02,68.64,259344000000.0,1.68,48374.09,2.01,48880.84,3.91,2239979000000.0,1.07,32979.78,-0.36,3.25,78.54,51.99,16.68,4217327000000.0,6.82,972641000000.0,9.6
United States,2011,0.0,789.0,,-1.15,13240.48,-0.75,257410000000.0,0.83,48774.78,1.03,49386.67,0.5,2251285834313.56,1.48,33469.5,1.64,3.25,78.64,52.98,11.35,4695786502105.62,7.13,1042028983399.03,9.0
United States,2012,0.0,789.0,,-2.16,12954.54,-5.59,243011000000.0,1.45,49481.16,1.33,50044.1,9.42,2463307645864.54,0.69,33700.27,3.16,3.25,78.74,53.17,1.66,4773717083334.31,2.33,1066358254494.71,8.1
United States,2013,63.37,1289.0,,0.26,12988.26,13.98,276978000000.0,0.93,49941.49,0.93,50507.68,7.87,2657190867331.79,0.72,33941.46,2.07,3.25,78.84,53.05,0.06,4776611821806.26,3.21,1100640318363.0,7.4
